,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,"The values represent the average over a time interval, such as daily mean discharge or daily mean temperature.",Average,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/average/,average,182,Current
1,,"Best Easy Systematic Estimator BES = (Q1 +2Q2 +Q3)/4. Q1, Q2, and Q3 are first, second, and third quartiles. See Woodcock, F. and Engel, C., 2005: Operational Consensus Forecasts.Weather and Forecasting, 20, 101-111. (http://www.bom.gov.au/nmoc/bulletins/60/article_by_Woodcock_in_Weather_and_Forecasting.pdf) and Wonnacott, T. H., and R. J. Wonnacott, 1972: Introductory Statistics. Wiley, 510 pp.",Best easy systematic estimator,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/bestEasySystematicEstimator/,bestEasySystematicEstimator,183,Current
2,,The values are categorical rather than continuous valued quantities.,Categorical,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/categorical/,categorical,184,Current
3,,"In statistics, a confidence interval (CI) is a type of interval estimate of a statistical parameter. It is an observed interval (i.e., it is calculated from the observations), in principle different from sample to sample, that frequently includes the value of an unobservable parameter of interest if the experiment is repeated. How frequently the observed interval contains the parameter is determined by the confidence level or confidence coefficient.",Confidence Interval,,Wikipedia,https://en.wikipedia.org/wiki/Confidence_interval,/api/v1/aggregationstatistic/confidenceInterval/,confidenceInterval,1527,Current
4,,"The values are quantities that can be interpreted as constant for all time, or over the time interval to a subsequent measurement of the same variable at the same site.",Constant over interval,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/constantOverInterval/,constantOverInterval,185,Current
5,,A quantity specified at a particular instant in time measured with sufficient frequency (small spacing) to be interpreted as a continuous record of the phenomenon.,Continuous,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/continuous/,continuous,186,Current
6,,"The values represent the cumulative value of a variable measured or calculated up to a given instant of time, such as cumulative volume of flow or cumulative precipitation.",Cumulative,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/cumulative/,cumulative,187,Current
7,,"The values represent the incremental value of a variable over a time interval, such as the incremental volume of flow or incremental precipitation.",Incremental,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/incremental/,incremental,188,Current
8,,"The values are the maximum values occurring at some time during a time interval, such as annual maximum discharge or a daily maximum air temperature.",Maximum,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/maximum/,maximum,189,Current
9,,"The values represent the median over a time interval, such as daily median discharge or daily median temperature.",Median,,Adapted from CUAHSI HIS DataTypeCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=DataTy,,/api/v1/aggregationstatistic/median/,median,190,Current
