,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,Communications component,An electrical device that converts electric power into radio waves and vice versa.,Antenna,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Antenna_(radio),,/api/v1/equipmenttype/antenna/,antenna,1349,Current
1,Instrument,A survey level that makes use of a compensator that ensures the line of sight remains horizontal once the operator has roughly leveled the instrument.,Automatic level,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Levelling,,/api/v1/equipmenttype/automaticLevel/,automaticLevel,1350,Current
2,Power component,A device consisting of one or more electrochemical cells that convert stored chemical energy into electrical energy.,Battery,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Battery_(electricity),,/api/v1/equipmenttype/battery/,battery,1351,Current
3,Peripheral component,"Two or more wires running side by side and bonded, twisted, or braided together to form a single assembly.",Cable,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Cable,,/api/v1/equipmenttype/cable/,cable,1352,Current
4,,A device used to create photographic images,Camera,,,,/api/v1/equipmenttype/camera/,camera,1353,Current
5,Power component,An electroinic device that limits the rate at which electric current is added to or drawn from electric batteries.,Charge regulator,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Charge_controller,,/api/v1/equipmenttype/chargeRegulator/,chargeRegulator,1354,Current
6,Datalogger,An electronic device that records data over time or in relation to location either with a built in instrument or sensor or via external instruments and sensors.,Datalogger,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Data_logger,,/api/v1/equipmenttype/datalogger/,datalogger,1355,Current
7,,A generic electronic device,Electronic device,,,,/api/v1/equipmenttype/electronicDevice/,electronicDevice,1356,Current
8,Platform,A cabinet or box within which electrical or electronic equipment are mounted to protect them from the environment.,Enclosure,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Enclosure_(electrical),,/api/v1/equipmenttype/enclosure/,enclosure,1357,Current
9,Sensor,"A device used to measure paramters of flouroescence, including its intensity and wavelength distribution of emission spectrum after excitation by a certain spectrum of light.",Fluorometer,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Fluorometer,,/api/v1/equipmenttype/fluorometer/,fluorometer,1358,Current
10,Sensor,A device that accurately calculates geographical location by receiving information from Global Positioning System satellites.,Global positioning system receiver,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/GPS_navigation_device,,/api/v1/equipmenttype/globalPositioningSystemReceiver/,globalPositioningSystemReceiver,1359,Current
11,,A device used to couple multiple other devices.,Interface,,,,/api/v1/equipmenttype/interface/,interface,1360,Current
12,Instrument,"Any type of equipment, apparatus or device designed, constructed and refined to use well proven physical principles, relationships or technology to facilitate or enable the pursuit, acquisition, transduction and storage of repeatable, verifiable data, usually consisting of sets numerical measurements made upon otherwise unknown, unproven quantities, properties, phenomena, materials, forces or etc.",Laboratory instrument,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Scientific_instrument,,/api/v1/equipmenttype/laboratoryInstrument/,laboratoryInstrument,1361,Current
13,Instrument,"A graduate wooden, fiberglass, or aluminum rod used to determine differences in elevation.",Level staff,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Level_staff,,/api/v1/equipmenttype/levelStaff/,levelStaff,1362,Current
14,Observation platform,"A pole that supports sensors, instruments, or measurement peripherals.",Mast,,,,/api/v1/equipmenttype/mast/,mast,1363,Current
15,Observation platform,A free standing tower that supports measuring instruments or sensors.,Measurement tower,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Measurement_tower,,/api/v1/equipmenttype/measurementTower/,measurementTower,1364,Current
16,,A device that selects one of several analog or digital input signals and forwards the selected input into a single line.,Multiplexer,,,,/api/v1/equipmenttype/multiplexer/,multiplexer,1365,Current
17,Power component,"An electronic device that supplies electric energy to an electrical load. The primary function of a power supply is to convert one form of electrical energy to another (e.g., solar to chemical).",Power supply,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Power_supply,,/api/v1/equipmenttype/powerSupply/,powerSupply,1366,Current
18,Sensor,"A sensor that measures pressure, typically of gases or liquids.",Pressure transducer,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Pressure_sensor,,/api/v1/equipmenttype/pressureTransducer/,pressureTransducer,1367,Current
19,Communications component,A device that transfers information via electromagnetic signals through the atmosphere or free space.,Radio,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Radio,,/api/v1/equipmenttype/radio/,radio,1368,Current
20,Sampling device,A device used to collect specimens for later ex situ analysis.,Sampler,,,,/api/v1/equipmenttype/sampler/,sampler,1369,Current
21,Sensor,"A device that detects events or changes in quantities and provides a corresponding output, generally as an electrical or optical signal.",Sensor,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Sensor,,/api/v1/equipmenttype/sensor/,sensor,1370,Current
22,Power component,A photovoltaic module that is electrically connected and mounted on a supporting structure.  Used to generate and supply electricity.,Solar panel,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Solar_panel,,/api/v1/equipmenttype/solarPanel/,solarPanel,1371,Current
23,Platform,An enclosure used to protect electronic equipment used for stormwater sampling.,Storm box,,,,/api/v1/equipmenttype/stormBox/,stormBox,1372,Current
24,Instrument,An electronic and optical instrument used in modern surveying and building construction.  A total station is an electronic theodoloite integrated with an electronic distance meter to read slope distances from the instrument to a particular point.,Total station,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Total_station,,/api/v1/equipmenttype/totalStation/,totalStation,1373,Current
25,Observation platform,"A portable, three-legged frame used as a platform for supporting the weight and maintaining the stability of some other object. Typically used as a data collection platform to which sensors are attached.",Tripod,,Definition adapted from Wikipedia. See http://en.wikipedia.org/wiki/Tripod,,/api/v1/equipmenttype/tripod/,tripod,1374,Current
26,Sensor,A water quality sensor that monitors light reflected off the particles suspended in water.,Turbidimeter,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Nephelometer,,/api/v1/equipmenttype/turbidimeter/,turbidimeter,1375,Current
27,Sensor,A water quality monitoring instrument having multiple attached sensors.,Water quality sonde,,Definition adapted from Wikipedia. See https://en.wikipedia.org/wiki/Sonde_(electronics),,/api/v1/equipmenttype/waterQualitySonde/,waterQualitySonde,1376,Current
