,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,Measurement,"A single ResultValue for a single Variable, measured on or at a single SamplingFeature, using a single Method.",Category observation,,Adapted from OGC O&M,,/api/v1/resulttype/categoryObservation/,categoryObservation,19,Current
1,Measurement,"A single ResultValue for a single Variable, counted on or at a single SamplingFeature, using a single Method, and having a specific ProcessingLevel.",Count observation,,Adapted from OGC O&M,,/api/v1/resulttype/countObservation/,countObservation,20,Current
2,Measurement,"A single ResultValue for a single Variable, measured on or at a SamplingFeature, using a single Method, with specific Units, and having a specific ProcessingLevel.",Measurement,,Adapted from OGC O&M,,/api/v1/resulttype/measurement/,measurement,21,Current
3,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, with a fixed ValueDateTime, but measured over varying X,Y locations, where X and Y are horizontal coordinates.",Point coverage,,Adapted from OGC O&M,,/api/v1/resulttype/pointCoverage/,pointCoverage,22,Current
4,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple locations along a depth profile with only one varying location dimension (e.g., Z, where Z is depth). ValueDateTime may be fixed or controlled.",Profile coverage,,Adapted from OGC O&M,,/api/v1/resulttype/profileCoverage/,profileCoverage,23,Current
5,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over varying X (horizontal) and Z (depth) coordinates. ValueDateTime may be fixed or controlled.",Section coverage,,,,/api/v1/resulttype/sectionCoverage/,sectionCoverage,24,Current
6,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple wavelengths of light. ValueDateTime may be fixed or controlled.",Spectra coverage,,,,/api/v1/resulttype/spectraCoverage/,spectraCoverage,25,Current
7,Measurement,"A single ResultValue for a single Variable, measured on or at a SamplingFeature, using a single Method, with specific Units, and having a specific ProcessingLevel.",Temporal observation,,Adapted from OGC O&M,,/api/v1/resulttype/temporalObservation/,temporalObservation,26,Current
8,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature of fixed location, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over time.",Time series coverage,,Adapted from WaterML 2.0,,/api/v1/resulttype/timeSeriesCoverage/,timeSeriesCoverage,27,Current
9,Coverage,"A series of ResultValues for a single Variable, measured on a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over varying X,Y, Z, and D locations, where X and Y are horizontal coordinates, Z is a vertical coordinate, and D is the distance along the trajectory. ValueDateTime may be fixed (DTS Temperature) or controlled (glider).",Trajectory coverage,,,,/api/v1/resulttype/trajectoryCoverage/,trajectoryCoverage,28,Current
10,Coverage,"A series of ResultValues for a single Variable, measured on or at a single SamplingFeature, using a single Method, with specific Units, having a specific ProcessingLevel, but measured over multiple locations along a transect having varying location dimensions (e.g.,  X and/or Y, where X and Y are horizontal coordintes). ValueDateTime may be fixed or controlled.",Transect coverage,,,,/api/v1/resulttype/transectCoverage/,transectCoverage,29,Current
11,Measurement,"A single ResultValue for a single Variable, measured on or at a single SamplingFeature, using a single Method.",Truth observation,,Adapted from OGC O&M,,/api/v1/resulttype/truthObservation/,truthObservation,30,Current
