,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,SamplingCurve,"A narrow shaft bored into the ground, either vertically or horizontally. A borehole includes the hole cavity and walls surrounding that cavity.  ",Borehole,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model).  Parts of the definition came from Wikipedia (see http://en.wikipedia.org/wiki/Borehole).","Example from OGC Observations & Measurements, but listed as Sample Type in SESAR",,/api/v1/samplingfeaturetype/borehole/,borehole,1148,Current
1,SamplingSurface,The intersection of a body in three-dimensional space with a plane.  Represented as a polygon. ,Cross section,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model).  Parts of the definition came from Wikipedia (see http://en.wikipedia.org/wiki/Cross_section_(geometry)).",Term from OGC Observations & Measurements. Partial definition from Wikipedia.,,/api/v1/samplingfeaturetype/crossSection/,crossSection,1149,Current
2,Specimen,"A CTD (Conductivity, Temperature, and Depth) cast is a water column depth profile collected over a specific and relatively short date-time range, that can be considered as a parent specimen.",CTD,,SESAR. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/samplingfeaturetype/CTD/,CTD,1150,Current
3,SamplingCurve,"A discrete segment along a longer vertical path, such as a borehole, soil profile or other depth profile, in which an observation or specimen is collected over the distance between the upper and lower depth limits of the interval. A Depth Interval is a sub-type of Interval.",Depth interval,,CZchemDB,,/api/v1/samplingfeaturetype/depthInterval/,depthInterval,1151,Current
4,SamplingSurface,"Ecological land classification is a cartographical delineation of distinct ecological areas, identified by their geology, topography, soils, vegetation, climate conditions, living species, habitats, water resources, as well as anthropic factors. These factors control and influence biotic composition and ecological processes.",Ecological land classification,,Wikipedia,https://en.wikipedia.org/wiki/Ecological_land_classification,/api/v1/samplingfeaturetype/ecologicalLandClassification/,ecologicalLandClassification,1519,Current
5,SamplingSolid,"An artificially constructed cavity in the earth that is deeper than the soil, larger than a well bore, and substantially open to the atmosphere. The diameter of an excavation is typically similar or larger than the depth. Excavations include building-foundation diggings, roadway cuts, and surface mines.",Excavation,This is a term from the USGS site types http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html that was originally included in the CUAHSI SiteTypeCV.  It is more appropriate as a SamplingFeatureType.,Originally from USGS Site Types,,/api/v1/samplingfeaturetype/excavation/,excavation,1152,Current
6,SamplingSurface,A location at which field experiments or observations of ambient conditions are conducted. A field area may contain many sites and has a geographical footprint that can be represented by a polygon.,Field area,Useful for Critical Zone Observatory network and other programs to describe a terrestrial research area.  Can be hiearchical (i.e. CRB-CZO > WhiteClayCreek@SWRC > TransectA.  See http://criticalzone.org/christina/infrastructure/field-areas-christina/).,Used by CriticalZone.org,,/api/v1/samplingfeaturetype/fieldArea/,fieldArea,1153,Current
7,SamplingCurve,A path along which an aircraft travels while measuring a phenomena of study.,Flightline,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model)",OGC Observations & Measurements,,/api/v1/samplingfeaturetype/flightline/,flightline,1154,Current
8,SamplingCurve,A discrete segment along a longer path in which an observation or specimen is collected over the distance between the upper and lower bounds of the interval. A Depth Interval is a sub-type of Interval.,Interval,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model)",OGC Observations & Measurements,,/api/v1/samplingfeaturetype/interval/,interval,1155,Current
9,SamplingCurve,"A hole or shaft constructed in the earth intended to be used to locate, sample, or develop groundwater, oil, gas, or some other subsurface material. The diameter of a well is typically much smaller than the depth. Wells are also used to artificially recharge groundwater or to pressurize oil and gas production zones. Specific kinds of wells should be specified in the SamplingFeature description. For example, underground waste-disposal wells should be classified as waste injection wells.",Observation well,"The term is from OGC Observations and Measurements (see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model), but the definition is from the USGS SiteTypes http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html.",OGC Observations & Measurements,,/api/v1/samplingfeaturetype/observationWell/,observationWell,1156,Current
10,SamplingCurve,"A one-dimensional grid at fixed (x, y, t) coordinates within a four-dimensional (x, y, z, t) coordinate reference system. The grid axis is aligned with the coordinate reference system z-axis. Typically used to characterize or measure phenomena as a function of depth.",Profile,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model)",OGC Observations & Measurements,,/api/v1/samplingfeaturetype/profile/,profile,1157,Current
11,SamplingSurface,A small plot used to isolate a standard unit of area for study of the distribution of an item over a large area.,Quadrat,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model). Parts of the definition came from Wikipedia (see http://en.wikipedia.org/wiki/Quadrat).",Term from OGC Observations & Measurements. Partial definition from Wikipedia.,,/api/v1/samplingfeaturetype/quadrat/,quadrat,1158,Current
12,SamplingSurface,A two-dimensional visual extent within a physical environment.,Scene,"Term retrived from OGC Observations & Measurements (e.g., see https://www.seegrid.csiro.au/wiki/AppSchemas/ObservationsAndSampling#Sampling_model).  Parts of the definition came from Wikipedia (see http://en.wikipedia.org/wiki/Scene_(perception)).",Term from OGC Observations & Measurements. Partial definition from Wikipedia.,,/api/v1/samplingfeaturetype/scene/,scene,1159,Current
