,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,Aggregated Use Sites,"An Aggregate Groundwater Withdrawal/Return site represents an aggregate of specific sites where groundwater is withdrawn or returned which is defined by a geographic area or some other common characteristic. An aggregate groundwater site type is used when it is not possible or practical to describe the specific sites as springs or as any type of well including 'multiple wells', or when water-use information is only available for the aggregate. ",Aggregate groundwater use,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/aggregateGroundwaterUse/,aggregateGroundwaterUse,237,Current
1,Aggregated Use Sites,"An Aggregate Surface-Water Diversion/Return site represents an aggregate of specific sites where surface water is diverted or returned which is defined by a geographic area or some other common characteristic. An aggregate surface-water site type is used when it is not possible or practical to describe the specific sites as diversions, outfalls, or land application sites, or when water-use information is only available for the aggregate. ",Aggregate surface-water-use,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/aggregateSurfaceWaterUse/,aggregateSurfaceWaterUse,238,Current
2,Aggregated Use Sites,"An Aggregate Water-Use Establishment represents an aggregate class of water-using establishments or individuals that are associated with a specific geographic location and water-use category, such as all the industrial users located within a county or all self-supplied domestic users in a county. An aggregate water-use establishment site type is used when specific information needed to create sites for the individual facilities or users is not available or when it is not desirable to store the site-specific information in the database. ",Aggregate water-use establishment,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/aggregateWaterUseEstablishment/,aggregateWaterUseEstablishment,239,Current
3,Facility Sites,"A facility for storage and/or biological treatment of wastes from livestock operations. Animal-waste lagoons are earthen structures ranging from pits to large ponds, and contain manure which has been diluted with building washwater, rainfall, and surface runoff. In treatment lagoons, the waste becomes partially liquefied and stabilized by bacterial action before the waste is disposed of on the land and the water is discharged or re-used.",Animal waste lagoon,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/animalWasteLagoon/,animalWasteLagoon,240,Current
4,Atmospheric Sites,A site established primarily to measure meteorological properties or atmospheric deposition.,Atmosphere,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/atmosphere/,atmosphere,241,Current
5,Surface Water Sites,"An artificial watercourse designed for navigation, drainage, or irrigation by connecting two or more bodies of water; it is larger than a ditch.",Canal,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/canal/,canal,242,Current
6,Groundwater Sites,"A natural open space within a rock formation large enough to accommodate a human. A cave may have an opening to the outside, is always underground, and sometimes submerged. Caves commonly occur by the dissolution of soluble rocks, generally limestone, but may also be created within the voids of large-rock aggregations, in openings along seismic faults, and in lava formations.",Cave,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/cave/,cave,243,Current
7,Water Infrastructure Sites,"An artificial, non-pressurized reservoir filled by gravity flow and used for water storage. The reservoir may be located above, at, or below ground level. The water may be supplied from diversion of precipitation, surface, or groundwater sources.",Cistern,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/cistern/,cistern,244,Current
8,Surface Water Sites,An oceanic site that is located off-shore beyond the tidal mixing zone (estuary) but close enough to the shore that the investigator considers the presence of the coast to be important. Coastal sites typically are within three nautical miles of the shore.,Coastal,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/coastal/,coastal,245,Current
9,Water Infrastructure Sites,"An underground conduit created to convey storm drainage and waste products into a wastewater-treatment plant, stream, reservoir, or disposal site.",Combined sewer,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/combinedSewer/,combinedSewer,246,Current
10,Composite Sites,"A Composite site represents an aggregation of specific sites defined by a geographic location at which multiple sampling features have been installed. For example, a composite site might consist of a location on a stream where a streamflow gage, weather station, and shallow groundwater well have been installed.",Composite,,,,/api/v1/sitetype/composite/,composite,247,Current
11,Observatory Sites,"Critical Zone Observatories (CZOs) address pressing interdisciplinary scientific questions concerning geological, physical, chemical, and biological processes and their couplings that govern critical zone system dynamics.",Critical Zone Observatories,,US National Science Foundation. See https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=500044,,/api/v1/sitetype/criticalZoneObservatories/,criticalZoneObservatories,1528,Current
12,Surface Water Sites,"An excavation artificially dug in the ground, either lined or unlined, for conveying water for drainage or irrigation; it is smaller than a canal.",Ditch,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/ditch/,ditch,248,Current
13,Surface Water Sites,"A site where water is withdrawn or diverted from a surface-water body (e.g. the point where the upstream end of a canal intersects a stream, or point where water is withdrawn from a reservoir). Includes sites where water is pumped for use elsewhere.",Diversion,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/diversion/,diversion,249,Current
14,Surface Water Sites,"A coastal inlet of the sea or ocean; esp. the mouth of a river, where tide water normally mixes with stream water (modified, Webster). Salinity in estuaries typically ranges from 1 to 25 Practical Salinity Units (psu), as compared oceanic values around 35-psu. See also: tidal stream and coastal.",Estuary,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/estuary/,estuary,250,Current
15,Facility Sites,"A non-ambient location where environmental measurements are expected to be strongly influenced by current or previous activities of humans. *Sites identified with a ""facility"" primary site type must be further classified with one of the applicable secondary site types.",Facility,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/facility/,facility,251,Current
16,Facility Sites,"A water-using facility characterized by an area where plants are grown for transplanting, for use as stocks for budding and grafting, or for sale. Irrigation water may or may not be applied.","Field, Pasture, Orchard, or Nursery",http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/fieldPastureOrchardOrNursery/,fieldPastureOrchardOrNursery,252,Current
17,Glacier Sites,"Body of land ice that consists of recrystallized snow accumulated on the surface of the ground and moves slowly downslope (WSP-1541A) over a period of years or centuries. Since glacial sites move, the lat-long precision for these sites is usually coarse.",Glacier,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/glacier/,glacier,253,Current
18,Facility Sites,"A place-of-use, either public or private, where the game of golf is played. A golf course typically uses water for irrigation purposes. Should not be used if the site is a specific hydrologic feature or facility; but can be used especially for the water-use sites.",Golf course,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/golfCourse/,golfCourse,254,Current
19,Groundwater Sites,"An underground pipe or tunnel through which groundwater is artificially diverted to surface water for the purpose of reducing erosion or lowering the water table. A drain is typically open to the atmosphere at the lowest elevation, in contrast to a well which is open at the highest point.",Groundwater drain,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/groundwaterDrain/,groundwaterDrain,255,Current
20,Facility Sites,A residential building for a single or small number of families.,House,,,,/api/v1/sitetype/house/,house,1532,Current
21,Facility Sites,"A facility that generates electric power by converting potential energy of water into kinetic energy. Typically, turbine generators are turned by falling water.",Hydroelectric plant,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/hydroelectricPlant/,hydroelectricPlant,256,Current
22,Facility Sites,"A site where some types of quality-control samples are collected, and where equipment and supplies for environmental sampling are prepared. Equipment blank samples are commonly collected at this site type, as are samples of locally produced deionized water. This site type is typically used when the data are either not associated with a unique environmental data-collection site, or where blank water supplies are designated by Center offices with unique station IDs.",Laboratory or sample-preparation area,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/laboratoryOrSamplePreparationArea/,laboratoryOrSamplePreparationArea,257,Current
23,Surface Water Sites,"An inland body of standing fresh or saline water that is generally too deep to permit submerged aquatic vegetation to take root across the entire body (cf: wetland). This site type includes an expanded part of a river, a reservoir behind a dam, and a natural or excavated depression containing a water body without surface-water inlet and/or outlet.","Lake, Reservoir, Impoundment",http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/lakeReservoirImpoundment/,lakeReservoirImpoundment,258,Current
24,Land Sites,"A location on the surface of the earth that is not normally saturated with water. Land sites are appropriate for sampling vegetation, overland flow of water, or measuring land-surface properties such as temperature. (See also: Wetland).",Land,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/land/,land,259,Current
25,Facility Sites,"A typically dry location on the surface of the land where primarily solid waste products are currently, or previously have been, aggregated and sometimes covered with a veneer of soil. See also: Wastewater disposal and waste-injection well.",Landfill,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/landfill/,landfill,260,Current
26,infrastructure,A site that is primarily associated with monitoring or telemetry network infrastructure. For example a radio repeater or remote radio base station.,Network infrastructure,,,,/api/v1/sitetype/networkInfrastructure/,networkInfrastructure,261,Current
