,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,Expressed as silver,Ag,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Ag/,Ag,37,Current
1,,Expressed as aluminium,Al,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Al/,Al,38,Current
2,,Expressed as arsenic,As,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/As/,As,39,Current
3,,Expressed as boron,B,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/B/,B,40,Current
4,,Expressed as barium,Ba,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Ba/,Ba,41,Current
5,,Expressed as beryllium,Be,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Be/,Be,42,Current
6,,Expressed as bromine,Br,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Br/,Br,43,Current
7,,Expressed as carbon,C,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C/,C,44,Current
8,,Expressed as dimethyl terephthalate,C10H10O4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H10O4/,C10H10O4,45,Current
9,,Expressed as tetramethylnaphthalene,C10H4(CH3)4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H4_CH3_4/,C10H4_CH3_4,46,Current
10,,Expressed as trimethylnaphthalene,C10H5(CH3)3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H5_CH3_3/,C10H5_CH3_3,47,Current
11,,Expressed as dimethylnaphthalene,C10H6(CH3)2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H6_CH3_2/,C10H6_CH3_2,48,Current
12,,Expressed as ethylnaphthalene,C10H7C2H5,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H7C2H5/,C10H7C2H5,49,Current
13,,Expressed as methylnaphthalene,C10H7CH3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H7CH3/,C10H7CH3,50,Current
14,,Expressed as naphthalene,C10H8,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C10H8/,C10H8,51,Current
15,,"Expressed as C12H10, e.g., acenaphthene, biphenyl",C12H10,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H10/,C12H10,52,Current
16,,Expressed as diethyl phthalate,C12H14O4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H14O4/,C12H14O4,53,Current
17,,Expressed as acenaphthylene,C12H8,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H8/,C12H8,54,Current
18,,Expressed as dibenzofuran,C12H8O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H8O/,C12H8O,55,Current
19,,Expressed as dibenzothiophene,C12H8S,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H8S/,C12H8S,56,Current
20,,Expressed as carbazole,C12H9N,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C12H9N/,C12H9N,57,Current
21,,Expressed as fluorene,C13H10,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C13H10/,C13H10,58,Current
22,,Expressed as methyldibenzothiophene,C13H10S,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C13H10S/,C13H10S,59,Current
23,,Expressed as phenanthrene,C14H10,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C14H10/,C14H10,60,Current
24,,Expressed as methylfluorene,C14H12,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C14H12/,C14H12,61,Current
25,,"Expressed as C15H12, e.g., methylphenanthrene, Methylanthracene",C15H12,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C15H12/,C15H12,62,Current
26,,Expressed as C15 n-alkane,C15H32,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C15H32/,C15H32,63,Current
27,,"Expressed as C16H10, e.g., fluoranthene, pyrene",C16H10,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C16H10/,C16H10,64,Current
28,,Expressed as dimethylphenanthrene,C16H14,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C16H14/,C16H14,65,Current
29,,Expressed as C16 n-alkane,C16H34,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C16H34/,C16H34,66,Current
30,,"Expressed as C17H12, e.g., benzo(a)fluorene, methylfluoranthene, methylpyrene",C17H12,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C17H12/,C17H12,67,Current
31,,Expressed as C17 n-alkane,C17H36,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C17H36/,C17H36,68,Current
32,,"Expressed as C18H12, e.g., benz(a)anthracene, chrysene, triphenylene",C18H12,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C18H12/,C18H12,69,Current
33,,Expressed as retene,C18H18,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C18H18/,C18H18,70,Current
34,,Expressed as C18 n-alkane,C18H38,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C18H38/,C18H38,71,Current
35,,Expressed as methylchrysene,C19H14,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C19H14/,C19H14,72,Current
36,,Expressed as benzyl butyl pththalate,C19H20O4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C19H20O4/,C19H20O4,73,Current
37,,Expressed as C19 n-alkane,C19H40,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C19H40/,C19H40,74,Current
38,,"Expressed as C20H12, e.g., benzo(b)fluoranthene, benzo(e)pyrene, perylene",C20H12,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C20H12/,C20H12,75,Current
39,,Expressed as C20 n-alkane,C20H42,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C20H42/,C20H42,76,Current
40,,Expressed as C21 n-alkane,C21H44,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C21H44/,C21H44,77,Current
41,,"Expressed as Dibenz(a,h)anthracene",C22H14,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C22H14/,C22H14,78,Current
42,,Expressed as C22 n-alkane,C22H46,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C22H46/,C22H46,79,Current
43,,Expressed as C23 n-alkane,C23H48,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C23H48/,C23H48,80,Current
44,,Expressed as C24 n-alkane,C24H50,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C24H50/,C24H50,81,Current
45,,Expressed as C25 n-alkane,C25H52,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C25H52/,C25H52,82,Current
46,,Expressed as C26 n-alkane,C26H54,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C26H54/,C26H54,83,Current
47,,Expressed as C27 n-alkane,C27H56,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C27H56/,C27H56,84,Current
48,,Expressed as C28 n-alkane,C28H58,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C28H58/,C28H58,85,Current
49,,Expressed as C29 n-alkane,C29H60,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C29H60/,C29H60,86,Current
50,,Expressed as tetrachloroethylene,C2Cl4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2Cl4/,C2Cl4,87,Current
51,,Expressed as hexachloroethane,C2Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2Cl6/,C2Cl6,88,Current
52,,Expressed as tetrachloroethane,C2H2Cl4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H2Cl4/,C2H2Cl4,89,Current
53,,Expressed as vinyl chloride,C2H3Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H3Cl/,C2H3Cl,90,Current
54,,Expressed as trichloroethane,C2H3Cl3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H3Cl3/,C2H3Cl3,91,Current
55,,Expressed as dichloroethane,C2H4Cl2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H4Cl2/,C2H4Cl2,92,Current
56,,Expressed as chloroethane,C2H5Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H5Cl/,C2H5Cl,93,Current
57,,Expressed as ethane,C2H6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H6/,C2H6,94,Current
58,,Expressed as Ethylene glycol,C2H6O2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2H6O2/,C2H6O2,95,Current
59,,Expressed as trichloroethylene,C2HCl3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C2HCl3/,C2HCl3,96,Current
60,,Expressed as C31 n-alkane,C31H64,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C31H64/,C31H64,97,Current
61,,Expressed as acetone,C3H6O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C3H6O/,C3H6O,98,Current
62,,Expressed as hexchlorobutadiene,C4Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C4Cl6/,C4Cl6,99,Current
63,,Expressed as bis(chloroethyl) ether,C4H8Cl2O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C4H8Cl2O/,C4H8Cl2O,100,Current
64,,Expressed as butanone,C4H8O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C4H8O/,C4H8O,101,Current
65,,Expressed as hexachlorocyclopentadiene,C5Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C5Cl6/,C5Cl6,102,Current
66,,Expressed as hexachlorobenzene,C6Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6Cl6/,C6Cl6,103,Current
67,,Expressed as trichlorobenzene,C6H3Cl3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H3Cl3/,C6H3Cl3,104,Current
68,,Expressed as xylenes,C6H4(CH3)2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H4_CH3_2/,C6H4_CH3_2,107,Current
