,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,Sample collected using an automated sampler.,Automated,,Originally from CUAHSI SampleTypeCV. See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SampleTypeCV. ,,/api/v1/specimentype/automated/,automated,1417,Current
1,,"A specimen consisting of all or part of a biological organism, including flora or fauna.",Biota,,,,/api/v1/specimentype/biota/,biota,1547,Current
2,,Long cylindrical cores,Core,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/core/,core,1418,Current
3,,Half-cylindrical products of along-axis split of a whole round,Core half round,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreHalfRound/,coreHalfRound,1419,Current
4,,Material occurring between unambiguous [as curated] breaks in recovery.,Core piece,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/corePiece/,corePiece,1420,Current
5,,Quarter-cylindrical products of along-axis split of a half round.,Core quarter round,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreQuarterRound/,coreQuarterRound,1421,Current
6,,"Arbitrarily cut segments of a ""core""",Core section,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreSection/,coreSection,1422,Current
7,,Half-cylindrical products of along-axis split of a section or its component fragments through a selected diameter.,Core section half,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreSectionHalf/,coreSectionHalf,1423,Current
8,,Unambiguously mated portion of a larger piece noted for curatorial management of the material.,Core sub-piece,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreSub-Piece/,coreSub-Piece,1424,Current
9,,Cylindrical segments of core or core section material.,Core whole round,,SESAR Sample type CV. See http://www.geosamples.org/help/vocabularies#object.,,/api/v1/specimentype/coreWholeRound/,coreWholeRound,1425,Current
