,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,A taxonomy containing terms associated with biological organisms.,Biology,,,,/api/v1/taxonomicclassifiertype/biology/,biology,223,Current
1,,"A taxonomy containing terms associated with chemistry, chemical analysis or processes.",Chemistry,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/chemistry/,chemistry,224,Current
2,,"A taxonomy containing terms associated with the climate, weather, or atmospheric processes.",Climate,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/climate/,climate,225,Current
3,,A taxonomy containing terms associated with geology or geological processes.,Geology,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/geology/,geology,226,Current
4,,A taxonomy containing terms associated with hydrologic variables or processes.,Hydrology,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/hydrology/,hydrology,227,Current
5,,"A taxonomy containing terms associated with instrumentation and instrument properties such as battery voltages, data logger temperatures, often useful for diagnosis.",Instrumentation,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/instrumentation/,instrumentation,228,Current
6,,A taxonomy containing terms associated with lithology.,Lithology,,,,/api/v1/taxonomicclassifiertype/lithology/,lithology,229,Current
7,,A taxonomy containing terms describing rocks.,Rock,,,,/api/v1/taxonomicclassifiertype/rock/,rock,230,Current
8,,A taxonomy containing terms associated with soil variables or processes,Soil,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/soil/,soil,231,Current
9,Soil,A taxonomy containing terms describing soil color.,Soil color,,See http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/planners/?cid=nrcs142p2_054184.,,/api/v1/taxonomicclassifiertype/soilColor/,soilColor,232,Current
10,Soil,A taxonomy containing terms describing soil horizons.,Soil horizon,,See http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/planners/?cid=nrcs142p2_054184.,,/api/v1/taxonomicclassifiertype/soilHorizon/,soilHorizon,233,Current
11,Soil,A taxonomy containing terms describing soil structure.,Soil structure,,See http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/planners/?cid=nrcs142p2_054184.,,/api/v1/taxonomicclassifiertype/soilStructure/,soilStructure,234,Current
12,Soil,A taxonomy containing terms describing soil texture.,Soil texture,,See http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/planners/?cid=nrcs142p2_054184.,,/api/v1/taxonomicclassifiertype/soilTexture/,soilTexture,235,Current
13,,A taxonomy containing terms associated with water quality variables or processes.,Water quality,,Originally from CUAHSI HIS GeneralCategoryCV.  See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/taxonomicclassifiertype/waterQuality/,waterQuality,236,Current
