,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,"1,1,1-Trichloroethane (C2H3Cl3)","1,1,1-Trichloroethane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_1_1_Trichloroethane/,1_1_1_Trichloroethane,303,Current
1,,"1,1,2,2-Tetrachloroethane (C2H2Cl4)","1,1,2,2-Tetrachloroethane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_1_2_2_Tetrachloroethane/,1_1_2_2_Tetrachloroethane,304,Current
2,,"1,1,2-Trichloroethane (C2H3Cl3)","1,1,2-Trichloroethane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_1_2_Trichloroethane/,1_1_2_Trichloroethane,305,Current
3,,"1,1-Dichloroethane (C2H4Cl2)","1,1-Dichloroethane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_1_Dichloroethane/,1_1_Dichloroethane,306,Current
4,,"1,1-Dichloroethene (C2H2Cl2)","1,1-Dichloroethene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_1_Dichloroethene/,1_1_Dichloroethene,307,Current
5,,"1,2,3-Trimethylbenzene (C9H12)","1,2,3-Trimethylbenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_3_Trimethylbenzene/,1_2_3_Trimethylbenzene,308,Current
6,,"1,2,4,5-tetrachlorobenzene (C6H2Cl4)","1,2,4,5-tetrachlorobenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_4_5_Tetrachlorobenzene/,1_2_4_5_Tetrachlorobenzene,309,Current
7,,"1,2,4-Trichlorobenzene (C6H3Cl3)","1,2,4-Trichlorobenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_4_Trichlorobenzene/,1_2_4_Trichlorobenzene,310,Current
8,,"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_4_Trimethylbenzene/,1_2_4_Trimethylbenzene,311,Current
9,,"1,2-Dibromo-3-chloropropane (C3H5Br2Cl)","1,2-Dibromo-3-chloropropane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dibromo_3_Chloropropane/,1_2_Dibromo_3_Chloropropane,312,Current
10,,"1,2-Dichlorobenzene (C6H4Cl2)","1,2-Dichlorobenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dichlorobenzene/,1_2_Dichlorobenzene,313,Current
11,,"1,2-Dichloroethane (C2H4Cl2)","1,2-Dichloroethane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dichloroethane/,1_2_Dichloroethane,314,Current
12,,"1,2-Dichloropropane (C3H6Cl2)","1,2-Dichloropropane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dichloropropane/,1_2_Dichloropropane,315,Current
13,,"1,2-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)","1,2-Dimethylnaphthalene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dimethylnaphthalene/,1_2_Dimethylnaphthalene,316,Current
14,,"1,2-Dinitrobenzene (C6H4N2O4)","1,2-Dinitrobenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Dinitrobenzene/,1_2_Dinitrobenzene,317,Current
15,,"1,2-Diphenylhydrazine (C12H12N2)","1,2-Diphenylhydrazine",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_2_Diphenylhydrazine/,1_2_Diphenylhydrazine,318,Current
16,,"1,3,5-Trimethylbenzene (C6H3(CH3)3)","1,3,5-Trimethylbenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_3_5_Trimethylbenzene/,1_3_5_Trimethylbenzene,319,Current
17,,"1,3-Dichlorobenzene (C6H4Cl2)","1,3-Dichlorobenzene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_3_Dichlorobenzene/,1_3_Dichlorobenzene,320,Current
18,,"1,3-Dimethyladamantane (C12H20).","1,3-Dimethyladamantane",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/1_3_Dimethyladamantane/,1_3_Dimethyladamantane,321,Current
