,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,,Variables associated with age,Age,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/age/,age,1443,Current
1,,Variables associated with biological organisms,Biota,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Biota/,Biota,1444,Current
2,,"Variables associated with chemistry, chemical analysis or processes",Chemistry,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Chemistry/,Chemistry,1445,Current
3,,"Variables associated with the climate, weather, or atmospheric processes",Climate,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Climate/,Climate,1446,Current
4,,Variables associated with end members,End-Member,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/endMember/,endMember,1447,Current
5,,Variables associated with geology or geological processes,Geology,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Geology/,Geology,1448,Current
6,,Variables associated with hydrologic variables or processes,Hydrology,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Hydrology/,Hydrology,1449,Current
7,,"Variables associated with instrumentation and instrument properties such as battery voltages, data logger temperatures, often useful for diagnosis.",Instrumentation,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Instrumentation/,Instrumentation,1450,Current
8,,Variables associated with major oxides or elements,Major oxide or element,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/majorOxideElement/,majorOxideElement,1451,Current
9,,Variables associated with modeled data,Model data,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/modelData/,modelData,1452,Current
10,,Variables associated with noble gasses,Noble gas,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/nobleGas/,nobleGas,1453,Current
11,,Variables associated with radiogenic isotopes,Radiogenic isotopes,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/radiogenicIsotopes/,radiogenicIsotopes,1454,Current
12,,Variables associated with rare earth elements,Rare earth element,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/rareEarthElement/,rareEarthElement,1455,Current
13,,Variables associated with a ratio,Ratio,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/ratio/,ratio,1456,Current
14,,Variables associated with a rock mode,Rock mode,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/rockMode/,rockMode,1457,Current
15,,Variables associated with soil variables or processes,Soil,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Soil/,Soil,1458,Current
16,,Variables associated with a speciation ratio,Speciation ratio,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/speciationRatio/,speciationRatio,1459,Current
17,,Variables associated with stable isotopes,Stable isotopes,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/stableIsotopes/,stableIsotopes,1460,Current
18,,Variables associated with trace elements,Trace element,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/traceElement/,traceElement,1461,Current
19,,The VariableType is unknown.,Unknown,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/Unknown/,Unknown,1462,Current
20,,Variables associated with uranium series,Uranium series,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/uraniumSeries/,uraniumSeries,1463,Current
21,,Variables associated with volatile chemicals,Volatile,,Originally from PetDB. Syntax modified to remove underscores.,,/api/v1/variabletype/volatile/,volatile,1464,Current
22,,Variables associated with water quality variables or processes,Water quality,,Originally from CUAHSI HIS GeneralCategoryCV. See http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=GeneralCategoryCV.,,/api/v1/variabletype/WaterQuality/,WaterQuality,1465,Current
